sample_id,sample_set,country,location,year,month,latitude,longitude,sex_call,taxon,population_code,snp_genotypes_vcf,metadata_source
AB0186-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0186-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0187-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0187-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0188-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0188-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0189-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0189-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0190-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0190-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0191-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0191-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0192-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0192-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0193-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0193-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0194-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0194-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0196-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0196-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
